via,placa,numero_placa,latitud,longitud
CL 45 SUR,72-252,,6.18175693,-75.65456086
CL 45 SUR,72-240,,6.18174235,-75.65449359
CL 45 SUR,72-248,,6.18174844,-75.65452169
CL 45 SUR,72-252 (0118),,6.1819972,-75.65451588
CR 43B,111A-64 (0108),,6.30140695,-75.54796215
CR 16 ESTE,51B-214,,6.23257096,-75.52181134
CR 16 ESTE,51B-221 (0103) LOTE,,6.23279379,-75.52223995
CL 52,16 ESTE-92 LOTE,,6.2320975,-75.52036763
CL 52,16 ESTE-276 LOTE,,6.23274968,-75.51982104
CL 111,32-03 (0113) LOTE,,6.29938605,-75.54379178
CR 32A,110-74 (0150),,6.29884694,-75.54345289
CR 32A,110-74 (0139),,6.29834549,-75.54307721
CR 32A,110-74 (0137),,6.29845298,-75.54306533
CR 127A,61-37,,6.27758924,-75.63271788
CR 31A,84-78 (0104) LOTE,,6.27467616,-75.54356944
CR 49B,107C-160 (0280),,6.29908646,-75.55299077
CL 121,42BB-34,,6.30292711,-75.54450729
CR 14,56A-11 (0105),,6.23920533,-75.53690642
CL 56AA,14-74 (0134),,6.23919776,-75.53699487
CR 51B,105D-21,,6.29768777,-75.55711507
CR 51,100-46 (0112),,6.2931409,-75.55926565
CL 121,42BB-24,,6.30286767,-75.54443154
CR 43,108-120,,6.29807177,-75.54810209
CR 49A,107-142 (0115),,6.29846746,-75.55298825
CR 46,107A-28 (0314),,6.29617697,-75.55069297
CR 27,68A-38 (0110),,6.2622643,-75.54155585
CR 43B,92A-37 (0122),,6.28402005,-75.55132282
CL 86,42A-36,,6.27845125,-75.55089764
CL 92D,28-41 (0105) LOTE,,6.28358353,-75.54251385
CR 37,92-92 (0215),,6.28359361,-75.54743532
CR 25,75C-01 (0262),,6.26903498,-75.53705589
CR 150,68-225,,6.28854462,-75.64692956
CR 150,68-227,,6.28857094,-75.64692829
CR 9,2-10 (0163) LOTE,,6.19779408,-75.5435409
CR 9,2-10 (0155) LOTE,,6.19857447,-75.54275105
CL 48F,107-66 LOTE,,6.2637669,-75.6222415
CR 61,42 SUR-37,,6.18224594,-75.6420397
CL 46,1 ESTE-116,,6.22832876,-75.52721991
CR 55,92-103 LOTE,,6.28509379,-75.56429172
CL 57F,92CC-55 (0164),,6.27336509,-75.60526739
CL 45 SUR,72-252 (0107),,6.18190197,-75.6545364
CL 45 SUR,72-252 (0110),,6.18192755,-75.65453205
CL 45 SUR,72-252 (0115),,6.18196481,-75.65452329
